recipientid,case_status,case_reopened,case_isactive,demo_familysize,demo_deceasedcount,demo_eduburden,demo_maritalvuln,med_disability,med_chronic,med_urgent,med_count,house_isrented,house_rent,house_infra,house_elec,house_ratio,fin_balance,fin_status,hist_lastmonth,xgboost_suggestion,group_id,max_budget,min_allocation,max_allocation,min_cases,amount_allocated
66c28000,0,2,1,1,0,13,1,0,0,1,2,1,800,1,1,1.0,210.2678893,1,980.4627251,226.2572,1,10000,200,800,20,0.0
47bb0eb2,0,1,1,7,0,14,3,7,0,0,7,0,0,0,0,0.142857143,273.7231534,1,796.4717757,737.6174,2,5000,100,150,50,100.0
4121fce1,0,0,1,1,0,1,5,0,4,1,2,1,1500,0,1,1.0,33.11798893,1,240.1456188,503.2404,2,5000,100,150,50,100.0
761d6998,0,1,1,8,0,18,2,0,0,0,0,0,0,0,1,0.125,486.5551746,1,31.80468149,491.4975,2,5000,100,150,50,100.0
76cf3145,0,0,1,5,0,13,1,0,0,1,2,1,400,0,1,0.2,447.1086314,1,627.9003895,349.4166,2,5000,100,150,50,100.0
f63a370b,0,2,1,5,1,13,1,7,0,0,7,0,0,0,1,0.2,268.295323,1,62.34136251,644.5959,2,5000,100,150,50,100.0
500c2889,0,1,1,3,1,10,3,0,4,0,6,0,0,0,1,0.333333333,447.6034188,1,242.4705036,444.4791,2,5000,100,150,50,100.0
72837a48,0,0,1,1,1,11,0,0,0,0,1,0,0,1,1,1.0,44.60216436,1,789.1712386,251.2861,2,5000,100,150,50,100.0
77c0971c,0,1,1,7,0,11,2,7,0,1,4,1,400,1,1,0.142857143,293.420559,1,607.5552223,952.4983,2,5000,100,150,50,100.0
2a7073d7,0,0,1,1,1,15,3,7,0,0,6,1,400,0,1,1.0,112.6663989,1,55.65348936,512.8565,2,5000,100,150,50,100.0
d30b7bab,0,1,1,3,2,5,1,7,4,1,8,1,1500,1,0,0.333333333,348.4807312,1,975.0671629,1315.1437,2,5000,100,150,50,100.0
6b13bcc3,0,0,1,2,0,11,4,7,4,0,0,1,1500,1,1,0.5,238.3097421,1,507.6103787,656.4584,2,5000,100,150,50,100.0
53e2a52a,0,1,1,2,1,10,3,0,0,1,7,0,0,1,1,0.5,43.64508979,1,454.2679722,427.7832,2,5000,100,150,50,100.0
2cf6dcc0,0,0,1,2,0,8,2,0,4,0,1,1,800,1,1,0.5,340.7513611,1,106.6992501,394.0521,2,5000,100,150,50,100.0
8a56dd87,0,1,1,6,1,11,2,0,0,0,2,0,0,1,1,0.166666667,495.4647382,1,841.8287768,547.248,2,5000,100,150,50,100.0
03d479f8,0,1,1,5,1,3,0,0,4,1,2,1,800,1,1,0.2,332.5986103,1,439.1349086,695.4324,2,5000,100,150,50,100.0
79ae3aa9,0,2,1,5,0,16,0,0,0,0,6,1,800,1,1,0.2,219.3723377,1,229.0253909,391.5964,2,5000,100,150,50,100.0
ec5eb164,0,0,1,3,2,0,3,7,0,1,4,1,1500,1,1,0.333333333,83.36538,1,752.40312,1056.3397,2,5000,100,150,50,100.0
9c9a4a82,0,2,1,3,1,1,1,0,0,0,7,0,0,1,1,0.333333333,16.76621737,1,536.4813515,339.9032,2,5000,100,150,50,100.0
ffbe79e4,0,1,1,5,1,18,2,7,4,0,9,1,1500,0,1,0.2,361.1262842,1,826.7988278,809.0628,2,5000,100,150,50,100.0
1d7d31f7,0,0,1,8,1,13,2,7,4,1,7,1,1500,1,1,0.125,211.7984312,1,611.4542354,1494.1147,2,5000,100,150,50,100.0
225f04f5,0,0,1,5,2,8,5,0,0,0,4,0,0,1,0,0.2,76.26952146,1,910.6861983,641.0742,2,5000,100,150,50,100.0
2173e20a,0,0,1,5,0,0,5,0,0,0,9,1,1500,0,1,0.2,62.3313406,1,54.76163882,534.4794,2,5000,100,150,50,100.0
67368c43,0,2,1,1,2,5,1,0,4,1,2,1,1500,0,1,1.0,268.6978015,1,587.0682241,547.7004,2,5000,100,150,50,100.0
be6cbddf,0,0,1,6,0,0,0,0,0,1,0,1,800,1,1,0.166666667,82.75665871,1,212.6807843,429.8918,2,5000,100,150,50,100.0
5616892a,0,1,1,4,0,6,0,7,0,0,0,1,1500,0,1,0.25,267.5348595,1,799.7820221,528.9947,2,5000,100,150,50,100.0
992352c5,0,0,1,5,1,0,5,0,0,0,7,1,1500,1,1,0.2,282.4205666,1,481.0879484,724.8124,2,5000,100,150,50,100.0
26a4d16d,0,2,1,5,1,18,5,7,4,1,7,1,800,1,1,0.2,186.6546581,1,839.7888595,1333.2202,2,5000,100,150,50,100.0
593f65ff,0,1,1,1,2,7,5,0,0,1,7,1,800,0,1,1.0,115.5373983,1,556.7215848,412.9398,2,5000,100,150,50,100.0
0cd47f52,0,0,1,6,0,13,1,0,4,1,2,0,0,0,1,0.166666667,198.5917648,1,26.53220387,598.2405,2,5000,100,150,50,100.0
ec0a2964,0,1,1,4,0,14,4,7,0,0,8,0,0,0,0,0.25,351.9730676,1,590.2949425,581.074,2,5000,100,150,50,100.0
c27d4e9a,0,0,1,2,1,11,0,7,4,0,1,0,0,0,0,0.5,109.7552625,1,799.8552559,561.2074,2,5000,100,150,50,100.0
6a7d1c06,0,2,1,3,0,6,0,7,4,1,5,0,0,1,1,0.333333333,270.8171073,1,525.6901823,815.477,2,5000,100,150,50,100.0
36a25c98,0,1,1,2,1,1,0,0,0,0,4,1,400,0,0,0.5,288.2582378,1,106.5787301,335.3285,2,5000,100,150,50,100.0
8ca70be1,0,1,1,3,1,11,4,0,0,1,5,0,0,0,1,0.333333333,436.9450388,1,418.7705249,410.1864,2,5000,100,150,50,100.0
565ae6c7,0,1,1,3,1,10,2,7,4,1,6,0,0,1,1,0.333333333,301.5760547,1,566.4046403,925.8613,2,5000,100,150,50,100.0
12c46b54,0,1,1,7,0,3,3,0,0,0,4,0,0,1,1,0.142857143,67.50063871,1,955.2363127,443.6146,2,5000,100,150,50,100.0
e4192c4a,0,2,1,1,0,10,1,0,0,1,5,0,0,0,0,1.0,206.3967753,1,2.339390626,165.8163,2,5000,100,150,50,0.0
514963df,0,0,1,2,2,16,4,0,4,1,5,0,0,0,1,0.5,45.79103666,1,86.70521186,649.0107,2,5000,100,150,50,100.0
20637535,0,2,1,8,0,11,2,7,0,1,0,0,0,1,1,0.125,124.8340044,1,705.5751725,1004.0056,2,5000,100,150,50,100.0
0e0095d3,0,2,1,7,1,14,4,0,0,1,2,1,400,1,0,0.142857143,457.7441488,1,421.7626597,795.4947,2,5000,100,150,50,100.0
24add8ee,0,2,1,2,2,2,3,7,0,0,6,1,800,0,0,0.5,18.50381736,1,339.8749638,670.1591,2,5000,100,150,50,100.0
f7b7bfd2,0,2,1,4,0,12,1,0,4,1,6,1,1500,1,1,0.25,269.7456462,1,417.506084,654.3589,2,5000,100,150,50,100.0
12385402,0,0,1,5,2,6,5,7,0,0,7,1,1500,1,1,0.2,466.2949547,1,479.8756203,871.8086,2,5000,100,150,50,100.0
2f94a12f,0,1,1,4,0,6,3,0,0,0,4,0,0,0,1,0.25,384.1367069,1,354.6221576,245.8768,2,5000,100,150,50,0.0
a9e26e51,0,0,1,1,0,14,0,0,4,0,5,0,0,1,1,1.0,493.8611949,1,797.9893221,169.1937,2,5000,100,150,50,0.0
e6e572e0,0,0,1,7,2,12,1,0,0,0,9,0,0,1,1,0.142857143,472.3660111,1,942.7317741,606.892,2,5000,100,150,50,100.0
c2d7daa4,0,1,1,3,1,2,5,0,0,0,0,1,400,0,0,0.333333333,18.36596871,1,518.2603667,546.0351,2,5000,100,150,50,100.0
c12dc280,0,1,1,5,1,16,2,7,0,0,8,1,800,0,1,0.2,379.1192379,1,536.9744229,816.452,2,5000,100,150,50,100.0
e536c4d1,0,1,1,8,2,1,3,7,0,1,7,1,1500,0,1,0.125,238.3384142,1,735.2126545,1310.5144,2,5000,100,150,50,100.0
e138de1f,0,2,1,4,1,17,5,0,4,0,7,1,1500,0,1,0.25,347.8571464,1,991.4753351,755.4105,2,5000,100,150,50,100.0
940d5e84,0,0,1,8,0,0,5,7,0,0,8,0,0,0,1,0.125,282.865982,1,157.3406597,672.1819,2,5000,100,150,50,100.0
8da91ac8,0,1,1,5,1,6,4,0,0,0,6,0,0,0,1,0.2,309.3056891,1,825.8167506,464.1325,2,5000,100,150,50,100.0
7127d649,0,2,1,7,0,11,1,7,0,0,1,1,400,0,1,0.142857143,416.067089,1,631.813527,587.0826,2,5000,100,150,50,100.0
18b19812,0,1,1,4,1,18,5,0,4,1,3,0,0,0,0,0.25,389.9226976,1,392.1512114,796.0368,3,100000,500,750,100,389.06298599999997
84162c6d,0,2,1,4,2,16,3,7,0,0,1,0,0,1,1,0.25,33.91852955,1,620.9155178,675.6334,3,100000,500,750,100,337.8167
ba5004ec,0,1,1,2,2,2,3,0,4,1,6,0,0,0,1,0.5,338.0261286,1,323.6102191,527.6089,3,100000,500,750,100,0.0
2da75f06,0,1,1,2,0,2,4,0,0,1,3,1,400,0,1,0.5,498.5622501,1,298.374431,189.332,3,100000,500,750,100,0.0
436b3ee1,0,2,1,6,0,14,4,0,4,0,1,1,800,0,1,0.166666667,475.4317811,1,983.977648,579.6258,3,100000,500,750,100,246.340965
416bc4dd,0,0,1,5,1,14,3,7,0,0,7,0,0,0,1,0.2,325.8334127,1,868.623168,667.2809,3,100000,500,750,100,283.5943825
88d17c6b,0,0,1,7,2,11,4,7,4,0,5,1,400,1,1,0.142857143,380.5119955,1,462.0972908,885.0868,3,100000,500,750,100,376.16189
3e15ea12,0,1,1,8,0,1,2,7,0,1,5,1,800,1,1,0.125,325.7597334,1,680.4566264,1019.6836,3,100000,500,750,100,498.3703594999999
5767662d,0,1,1,8,1,8,2,7,0,0,3,0,0,1,1,0.125,378.5296338,1,986.6625933,810.3693,3,100000,500,750,100,344.4069525
a8fd26cd,0,1,1,1,0,1,0,0,0,1,6,1,1500,0,1,1.0,470.6187521,1,78.57849716,169.1469,3,100000,500,750,100,0.0
472bbe3c,0,0,1,2,1,17,1,7,0,0,6,0,0,0,1,0.5,100.4295449,1,124.2199667,544.1969,3,100000,500,750,100,0.0
cf138595,0,1,1,7,1,19,5,0,0,1,9,1,400,1,1,0.142857143,467.6009076,1,553.0014526,777.7276,3,100000,500,750,100,380.1143645
d6627466,0,1,1,6,1,13,2,7,4,0,3,1,800,0,1,0.166666667,20.37705305,1,479.2789286,827.8647,3,100000,500,750,100,413.93235
19e9c245,0,2,1,5,2,11,1,7,4,1,2,1,800,1,1,0.2,216.827667,1,542.4786357,1294.475,3,100000,500,750,100,744.3231249999999
9402c8f3,0,1,1,4,1,14,0,0,4,1,3,1,800,0,0,0.25,110.2805625,1,415.9073661,771.121,3,100000,500,750,100,443.394575
f6ad0f02,0,1,1,4,0,3,1,0,4,0,6,0,0,0,1,0.25,256.9979339,1,900.701864,283.153,3,100000,500,750,100,0.0
7d9f558e,0,2,1,2,0,11,2,0,4,0,9,0,0,0,0,0.5,141.9272643,1,131.5676851,336.9665,3,100000,500,750,100,0.0
b434ae00,0,2,1,4,0,5,4,0,4,0,8,1,400,0,0,0.25,90.48847635,1,592.9183998,473.6888,3,100000,500,750,100,0.0
8efb94df,0,2,1,4,0,1,2,0,0,1,9,1,400,1,1,0.25,326.0616228,1,130.8736607,305.7834,3,100000,500,750,100,0.0
47cbe655,0,0,1,3,1,11,5,0,0,1,5,1,1500,0,1,0.333333333,259.8869743,1,948.5833549,582.3805,3,100000,500,750,100,334.86878749999994
995c9b55,0,1,1,4,0,11,4,0,0,0,1,1,800,1,0,0.25,368.2010075,1,864.2161777,510.2058,3,100000,500,750,100,0.0
25eed95d,0,1,1,1,0,2,5,0,0,1,3,1,1500,0,1,1.0,25.84841862,1,584.6707004,325.0442,3,100000,500,750,100,0.0
a58069b1,0,1,1,5,1,17,4,0,0,1,3,1,800,0,1,0.2,2.469990467,1,488.8465803,618.2202,3,100000,500,750,100,355.476615
6bc946ac,0,2,1,8,1,0,4,7,4,1,6,0,0,0,0,0.125,366.4494592,1,692.6259522,1340.6744,3,100000,500,750,100,655.254613
389fa81a,0,0,1,2,0,7,0,7,0,0,4,1,400,1,1,0.5,248.587382,1,676.5133858,371.969,3,100000,500,750,100,0.0
b11154d8,0,0,1,1,1,8,0,0,0,0,3,1,1500,0,1,1.0,79.64372262,1,567.016261,356.6888,3,100000,500,750,100,0.0
1d34985a,0,0,1,2,2,5,1,7,0,1,4,1,400,0,1,0.5,462.8374154,1,817.8342162,744.5789,3,100000,500,750,100,363.91293737499996
3ac8250c,0,1,1,7,2,18,3,0,0,1,9,0,0,0,1,0.142857143,304.9159027,1,444.4194528,602.29,3,100000,500,750,100,294.36923749999994
e5cbdc31,0,2,1,3,1,1,5,0,0,1,6,0,0,1,0,0.333333333,334.1063993,1,847.1673614,426.1166,3,100000,500,750,100,0.0
c5d82324,0,0,1,6,2,12,4,0,0,1,3,0,0,0,0,0.166666667,357.7454535,1,898.0305489,620.3821,3,100000,500,750,100,303.21175137499995
495628b8,0,1,1,3,1,18,1,7,0,0,3,1,1500,1,1,0.333333333,467.2180134,1,670.0960346,747.7522,3,100000,500,750,100,317.794685
dcea2f33,0,1,1,6,1,10,3,7,0,1,9,0,0,0,1,0.166666667,136.3120004,1,106.8769231,1059.7418,3,100000,500,750,100,609.351535
44b7917e,0,0,1,8,2,0,3,7,0,0,9,0,0,0,1,0.125,241.7728234,1,601.6118201,775.2108,3,100000,500,750,100,387.6054
f56db77d,0,2,1,1,0,9,0,7,0,1,9,0,0,1,1,1.0,87.38672141,1,822.6143185,556.1647,3,100000,500,750,100,0.0
1dfd6ea4,0,2,1,1,2,17,4,0,0,1,9,1,1500,0,0,1.0,74.85198398,1,216.7398001,617.7223,3,100000,500,750,100,355.1903225
bc6d21fb,0,0,1,1,0,1,2,0,0,0,0,0,0,1,1,1.0,29.22730705,1,445.7909146,125.3226,3,100000,500,750,100,0.0
a807e5d5,0,0,1,3,2,3,1,7,4,0,7,0,0,1,1,0.333333333,64.19714473,1,264.8954472,667.3043,3,100000,500,750,100,333.65215
7877c0be,0,1,1,1,0,16,3,7,4,1,7,0,0,1,1,1.0,308.5778917,1,540.0119146,913.7778,3,100000,500,750,100,446.60889974999986
e4c4b197,0,1,1,2,1,2,5,7,4,1,9,0,0,1,1,0.5,115.4145946,1,557.7834174,1014.26,3,100000,500,750,100,583.1995
55d39efa,0,2,1,4,2,15,1,7,4,1,6,0,0,1,0,0.25,317.4800228,1,347.5715242,1283.3041,3,100000,500,750,100,627.214878875
6f068951,0,0,1,4,0,19,5,7,4,0,3,0,0,0,1,0.25,10.01317796,1,608.4864127,600.3023,3,100000,500,750,100,300.15115
e7879382,0,1,1,1,0,1,2,0,0,1,3,0,0,1,1,1.0,180.0682037,1,279.7035385,112.7269,3,100000,500,750,100,0.0
0ba7863f,0,1,1,2,2,4,3,7,4,1,5,1,800,1,1,0.5,393.1379784,1,817.4497085,1102.504,3,100000,500,750,100,538.8488299999999
478aec5a,0,1,1,3,0,14,4,0,4,1,9,0,0,1,1,0.333333333,152.3395695,1,957.3228879,486.3989,3,100000,500,750,100,0.0
641c3e86,0,0,1,1,2,13,0,7,4,0,1,0,0,1,0,1.0,431.0072411,1,502.5660765,560.4573,3,100000,500,750,100,238.1943525
807b5a80,0,1,1,8,0,11,3,0,0,0,1,1,1500,0,0,0.125,67.58314458,1,105.6646843,732.8295,3,100000,500,750,100,366.41475
afdbc683,0,0,1,4,2,1,1,0,4,0,2,1,800,0,0,0.25,30.67481356,1,619.4977514,571.1277,3,100000,500,750,100,285.56385
1cdb1354,0,0,1,5,2,15,3,0,4,0,3,1,400,0,0,0.2,132.6937046,1,232.6455386,656.7782,3,100000,500,750,100,328.3891
a838a468,0,0,1,4,0,19,5,7,0,1,6,1,800,1,1,0.25,362.1587348,1,481.6348465,920.101,3,100000,500,750,100,449.6993637499999
d17eb6f6,0,0,1,2,2,9,1,7,0,1,4,0,0,0,1,0.5,9.596138412,1,834.303366,704.6598,3,100000,500,750,100,405.17938499999997
e5ec55d1,0,1,1,5,0,2,0,7,0,1,7,0,0,1,1,0.2,479.7883222,1,98.08258078,685.8787,3,100000,500,750,100,335.22321462499997
93e8c35e,0,1,1,3,1,9,4,0,0,0,0,1,1500,0,1,0.333333333,429.7826158,1,942.8311414,527.0356,3,100000,500,750,100,0.0
e340cd05,0,0,1,2,0,10,1,7,0,0,0,0,0,0,1,0.5,126.5292164,1,889.3909161,330.4899,3,100000,500,750,100,0.0
638371ec,0,0,1,7,0,10,0,0,0,0,7,0,0,0,1,0.142857143,20.8364503,1,956.5013983,374.8797,3,100000,500,750,100,0.0
62cb924b,0,1,1,2,2,18,2,7,0,1,0,1,1500,0,1,0.5,174.8516149,1,660.3027197,928.707,3,100000,500,750,100,534.006525
f37c9631,0,0,1,7,0,1,1,0,0,0,9,0,0,1,1,0.142857143,113.9212088,1,69.25430629,435.9602,3,100000,500,750,100,0.0
201c2b12,0,2,1,7,2,7,1,7,0,1,0,1,400,1,0,0.142857143,161.1077517,1,811.7697881,1085.9459,3,100000,500,750,100,624.4188925
78480eb6,0,2,1,8,2,13,3,7,0,0,0,0,0,1,0,0.125,186.0835119,1,928.3175328,952.6075,3,100000,500,750,100,476.30375
8af0d118,0,2,1,8,1,6,0,7,0,1,5,0,0,0,1,0.125,335.7274674,1,221.0633715,961.2837,3,100000,500,750,100,469.8274083749999
cacb55fb,0,2,1,6,0,12,1,7,0,1,2,0,0,0,1,0.166666667,468.6940332,1,965.1297421,789.9359,3,100000,500,750,100,386.08117112499997
ca61c7cb,0,0,1,7,2,4,4,0,4,1,4,0,0,0,1,0.142857143,366.4007724,1,151.5693716,790.4494,3,100000,500,750,100,386.33214424999994
c16b5709,0,1,1,7,0,11,4,0,0,0,8,1,400,1,1,0.142857143,4.665809914,1,879.8164859,521.8421,3,100000,500,750,100,0.0
fc3966a5,0,1,1,2,2,1,0,7,0,1,8,0,0,1,1,0.5,407.5591922,1,848.0477911,710.5657,3,100000,500,750,100,347.288985875
3a83a608,0,1,1,2,2,5,2,0,4,0,2,0,0,1,1,0.5,339.1894114,1,722.0709382,398.047,3,100000,500,750,100,0.0
7e87bd22,0,2,1,2,2,9,5,7,4,0,7,0,0,1,1,0.5,0.939941762,1,402.3271247,688.5463,3,100000,500,750,100,344.27315
891210ca,0,1,1,5,1,1,5,7,0,1,2,1,800,0,1,0.2,351.4717205,1,498.2556823,1069.1746,3,100000,500,750,100,522.55908575
59220735,0,1,1,6,1,5,4,0,4,0,3,0,0,0,1,0.166666667,372.9626044,1,147.4525267,597.7855,3,100000,500,750,100,254.05883749999998
e93bba9c,0,1,1,1,0,12,0,0,4,0,6,1,800,0,1,1.0,383.294262,1,118.3361909,223.106,3,100000,500,750,100,0.0
60dc4e6e,0,2,1,1,0,9,1,0,0,1,4,0,0,1,1,1.0,101.4681838,1,586.4790922,130.5733,3,100000,500,750,100,0.0
38a1ee77,0,1,1,3,0,4,3,0,0,0,6,1,400,1,0,0.333333333,112.770665,1,133.4799724,371.9976,3,100000,500,750,100,0.0
4aec6639,0,1,1,7,1,8,5,7,4,0,5,0,0,0,1,0.142857143,390.1065317,1,922.6230581,844.0796,3,100000,500,750,100,358.73383
ddf0d38f,0,2,1,4,1,15,5,0,4,1,3,1,800,1,1,0.25,453.1272903,1,156.3818044,820.3962,3,100000,500,750,100,400.96864274999996
89d38161,0,2,1,2,1,0,2,0,4,1,4,0,0,1,1,0.5,69.62268556,1,663.7896862,504.27,3,100000,500,750,100,0.0
fb0b45b8,0,0,1,2,1,4,1,0,4,1,2,0,0,1,1,0.5,393.8565078,1,191.1907015,514.1734,3,100000,500,750,100,0.0
925aeb56,0,0,1,3,0,8,0,7,0,0,1,0,0,0,1,0.333333333,304.2636363,1,850.6160578,343.2676,3,100000,500,750,100,0.0
d0d35156,0,0,1,4,1,16,0,7,4,0,1,0,0,0,1,0.25,33.83418095,1,428.630547,779.935,3,100000,500,750,100,389.9675
84bfbaff,0,2,1,6,1,15,2,0,0,0,0,0,0,0,1,0.166666667,334.5111687,1,512.5026488,538.3014,3,100000,500,750,100,0.0
